run_tag,load_concurrency,round,pid,register_ms,pre_query_ms,revoke_commit_ms,first_query_after_commit_ms,post_commit_visibility_ms,enforcement_gap_ms,poll_count,observed_revoked,observe_mode,background_success,background_failed
1781795217121,8,15,SD_A_REVOKE_1781795217121_L8_R15,2077.466,395.636,2099.615,1012.090,1012.092,3111.716,1,true,QUERY_REVOKED,482,0
1781795217121,8,16,SD_A_REVOKE_1781795217121_L8_R16,2155.108,904.901,2095.106,1007.407,1007.414,3102.547,1,true,QUERY_REVOKED,514,0
1781795217121,8,17,SD_A_REVOKE_1781795217121_L8_R17,2102.794,717.786,2100.041,1049.866,1049.871,3149.925,1,true,QUERY_REVOKED,546,0
1781795217121,8,18,SD_A_REVOKE_1781795217121_L8_R18,2100.422,450.657,2106.904,797.964,797.966,2904.874,1,true,QUERY_REVOKED,578,0
1781795217121,8,19,SD_A_REVOKE_1781795217121_L8_R19,2110.290,473.512,2171.474,744.587,744.594,2916.087,1,true,QUERY_REVOKED,610,0
1781795217121,8,20,SD_A_REVOKE_1781795217121_L8_R20,2109.437,571.936,2085.110,899.874,899.881,2985.008,1,true,QUERY_REVOKED,642,0
1781795217121,16,1,SD_A_REVOKE_1781795217121_L16_R1,2122.036,1250.417,2115.712,859.165,859.170,2974.897,1,true,QUERY_REVOKED,39,0
1781795217121,16,2,SD_A_REVOKE_1781795217121_L16_R2,2144.541,393.185,2108.304,780.050,780.057,2888.381,1,true,QUERY_REVOKED,71,0
1781795217121,16,3,SD_A_REVOKE_1781795217121_L16_R3,2108.385,479.972,2194.290,709.398,709.403,2903.708,1,true,QUERY_REVOKED,103,0
1781795217121,16,4,SD_A_REVOKE_1781795217121_L16_R4,2127.393,701.163,2102.390,834.220,834.229,2936.730,1,true,QUERY_REVOKED,135,0
1781795217121,16,5,SD_A_REVOKE_1781795217121_L16_R5,2120.931,454.039,2112.470,792.168,792.176,2904.668,1,true,QUERY_REVOKED,167,0
1781795217121,16,6,SD_A_REVOKE_1781795217121_L16_R6,2131.635,688.498,2103.805,964.530,964.537,3068.360,1,true,QUERY_REVOKED,199,0
1781795217121,16,7,SD_A_REVOKE_1781795217121_L16_R7,2126.961,635.564,2182.793,813.062,813.069,2995.885,1,true,QUERY_REVOKED,231,0
1781795217121,16,8,SD_A_REVOKE_1781795217121_L16_R8,2184.485,532.744,2106.098,605.165,605.172,2711.288,1,true,QUERY_REVOKED,263,0
1781795217121,16,9,SD_A_REVOKE_1781795217121_L16_R9,2119.294,434.054,2092.965,813.937,813.941,2906.918,1,true,QUERY_REVOKED,295,0
1781795217121,16,10,SD_A_REVOKE_1781795217121_L16_R10,2112.712,439.388,2114.277,849.539,849.541,2963.840,1,true,QUERY_REVOKED,327,0
1781795217121,16,11,SD_A_REVOKE_1781795217121_L16_R11,2109.913,438.163,2069.567,641.005,641.010,2710.589,1,true,QUERY_REVOKED,359,0
1781795217121,16,12,SD_A_REVOKE_1781795217121_L16_R12,2182.767,454.266,2101.270,650.463,650.469,2751.754,1,true,QUERY_REVOKED,391,0
1781795217121,16,13,SD_A_REVOKE_1781795217121_L16_R13,2131.602,345.303,2115.357,616.686,616.692,2732.063,1,true,QUERY_REVOKED,423,0
1781795217121,16,14,SD_A_REVOKE_1781795217121_L16_R14,2103.493,620.202,2111.229,866.294,866.299,2977.541,1,true,QUERY_REVOKED,455,0
1781795217121,16,15,SD_A_REVOKE_1781795217121_L16_R15,2102.895,517.524,2091.768,674.263,674.270,2766.054,1,true,QUERY_REVOKED,487,0
1781795217121,16,16,SD_A_REVOKE_1781795217121_L16_R16,2168.297,549.767,2108.711,650.305,650.307,2759.026,1,true,QUERY_REVOKED,519,0
1781795217121,16,17,SD_A_REVOKE_1781795217121_L16_R17,2109.718,433.415,2102.642,1014.012,1014.019,3116.676,1,true,QUERY_REVOKED,551,0
1781795217121,16,18,SD_A_REVOKE_1781795217121_L16_R18,2238.573,401.935,2104.842,836.805,836.808,2941.658,1,true,QUERY_REVOKED,583,0
1781795217121,16,19,SD_A_REVOKE_1781795217121_L16_R19,2104.172,576.066,2185.198,853.973,853.975,3039.181,1,true,QUERY_REVOKED,615,0
1781795217121,16,20,SD_A_REVOKE_1781795217121_L16_R20,2248.015,2144.393,2173.801,1190.654,1190.657,3364.468,1,true,QUERY_REVOKED,671,0
